,연번,시도,시군구,읍면동,리,지번,(위도)도,(위도)분,(위도)초,(경도)도,(경도)분,(경도)초,취약지역유형,지정면적(제곱미터),데이터기준일자,addr,위도(변환),경도(변환),위도_geo,경도_geo
0,1,경상북도,경산시,와촌면,대한리,산132구,35,59,1.998,128,44,54.041,토석류,417.0,2025-05-06,경산시 와촌면 대한리 산132구,35.98388833333333,128.7483447222222,35.9838579,128.7483323
1,2,경상북도,경산시,와촌면,음양리,산128임,35,58,0.6,128,44,42.6,토석류,863.0,2025-05-06,경산시 와촌면 음양리 산128임,35.966833333333334,128.74516666666665,35.9696482,128.7457354
2,3,경상북도,경산시,와촌면,대한리,산33임,35,59,8.299,128,45,10.2,토석류,500.0,2025-05-06,경산시 와촌면 대한리 산33임,35.98563861111111,128.75283333333334,35.985815,128.7547396
3,4,경상북도,경산시,와촌면,음양리,산280구,35,57,53.204,128,45,1.405,토석류,471.0,2025-05-06,경산시 와촌면 음양리 산280구,35.964778888888894,128.75039027777777,35.9651946,128.7503094
4,5,경상북도,경산시,남천면,송백리,산15-2임,35,45,58.999,128,45,42.0,토석류,287.0,2025-05-06,경산시 남천면 송백리 산15-2임,35.76638861111111,128.76166666666666,35.7670593,128.7600755
5,6,경상북도,경산시,남천면,금곡리,670구,35,45,32.449,128,44,54.696,토석류,650.0,2025-05-06,경산시 남천면 금곡리 670구,35.75901361111111,128.74852666666666,35.7594753,128.7494448
6,7,경상북도,경산시,남천면,하도리,산117임,35,43,18.201,128,44,34.302,토석류,654.0,2025-05-06,경산시 남천면 하도리 산117임,35.7217225,128.74286166666664,35.7207536,128.7454563
7,8,경상북도,경산시,하양읍,대곡리,산95-2임,35,55,34.199,128,45,26.2,토석류,2953.0,2025-05-06,경산시 하양읍 대곡리 산95-2임,35.92616638888889,128.75727777777777,35.9240821,128.7544962
8,9,경상북도,경산시,와촌면,대한리,산33임2016,35,59,3.4,128,45,15.231,토석류,313.0,2025-05-06,경산시 와촌면 대한리 산33임2016,35.98427777777778,128.75423083333334,35.985815,128.7547396
9,10,경상북도,경산시,남산면,남곡리,산24임,35,46,32.799,128,51,14.7,토석류,2294.0,2025-05-06,경산시 남산면 남곡리 산24임,35.7757775,128.85408333333334,35.7751606,128.8569995
10,11,경상북도,경산시,하양읍,남하리,672임,35,53,46.999,128,46,15.0,토석류,197.0,2025-05-06,경산시 하양읍 남하리 672임,35.896388611111114,128.77083333333334,35.8971575,128.7704944
11,12,경상북도,경산시,하양읍,사기리,산9-2임,35,56,5.498,128,46,48.699,토석류,3024.0,2025-05-06,경산시 하양읍 사기리 산9-2임,35.93486055555555,128.7801941666667,35.938734,128.7827109
